model,sb,day,time,trial,nEntropy,nnmp,vacuity,dissonance,overall
ecnn1,1,1,AM,9,0.5285976998818707,0.5379624328205594,0.3851793167076462,0.463206324006393,0.504902421337494
ecnn1,1,1,AM,10,0.4775680042803145,0.5026023303975516,0.2348909060727172,0.3619567777879783,0.4466620057217599
ecnn1,1,1,AM,11,0.5379269185730192,0.5435668816697028,0.28771584359481145,0.3474372199448269,0.48282575234764097
ecnn1,1,1,AM,12,0.4250648915164354,0.4363514445255144,0.18128902323534696,0.3459757030727769,0.4229135087749696
ecnn1,1,1,PM,1,0.3858210219972026,0.4891253969516136,0.10269977204112808,0.465061279523968,0.4565689138356462
ecnn1,1,1,PM,2,0.45030456423211707,0.4803830412777297,0.13530554080382948,0.2970210194008868,0.31701345341449794
ecnn1,1,1,PM,3,0.4819340851467701,0.4865749220499307,0.3614187024013921,0.3823770247375939,0.4393765124392531
ecnn1,1,1,PM,4,0.41586585436871865,0.4720299445555307,0.07690571735569855,0.41808309393315096,0.4370225681892264
ecnn1,1,1,PM,5,0.3909154617109628,0.4639062177844266,0.1539897533296093,0.4740672410251596,0.4676513378863896
ecnn1,1,1,PM,6,0.30506047024515826,0.4299221779165109,0.0797848359495467,0.40062630373014,0.4062931597624029
ecnn1,1,1,PM,7,0.42538028578619297,0.5064551005636772,0.09775406877851547,0.4762262279206911,0.4987009754912218
ecnn1,1,1,PM,8,0.3315335564733084,0.4545398423540719,0.0715307971826235,0.3845713408374121,0.38766799376947786
ecnn1,1,1,PM,9,0.5394356468722413,0.5486252257048784,0.4217907148700232,0.4697986662164585,0.5175789577488283
ecnn1,1,1,PM,10,0.2681261817980113,0.3255330309553974,0.06285975040011246,0.3224076670347572,0.3204607147207069
ecnn1,1,1,PM,11,0.30683186283831715,0.36402259436692985,0.11030246686465063,0.3778054446448048,0.3694679866768294
ecnn1,1,1,PM,12,0.2766061788711946,0.3315215966511001,0.09151877831179622,0.2928529564630448,0.32538154938565944
ecnn1,1,2,AM,1,0.5927114752454757,0.5837345676312851,0.5526655603940318,0.4573115944831512,0.5550009221403174
ecnn1,1,2,AM,2,0.5546818661001506,0.5623443274119247,0.4614490360749188,0.4725785316639053,0.5165905667212873
ecnn1,1,2,AM,3,0.5583895264905502,0.5352836106113278,0.4927594861494064,0.3685663512270116,0.4742053235090872
ecnn1,1,2,AM,4,0.5772922182319427,0.5680978746882118,0.5156396481272362,0.4670207685769622,0.538175216966935
ecnn1,1,2,AM,5,0.6147387328815339,0.5744592320356898,0.5180038260548889,0.4010462404600519,0.5020848902515977
ecnn1,1,2,AM,6,0.5719432818678081,0.5811805852716543,0.4606931052476778,0.4477058841367748,0.5144567154091948
ecnn1,1,2,AM,7,0.4943706314071935,0.4671821655061868,0.4401816081449102,0.35638886520305274,0.4317937572884202
ecnn1,1,2,AM,8,0.5338481591563421,0.515392980328329,0.4269267845046021,0.3932843202530782,0.4730093504522687
ecnn1,1,2,AM,9,0.568935551754451,0.566549499932194,0.4953203977297512,0.504354180464361,0.5698933290338545
ecnn1,1,2,AM,10,0.4769049103717007,0.4923800889326944,0.4069389402557613,0.4078292631088285,0.4662311727770693
ecnn1,1,2,AM,11,0.5402014301619,0.5204208874623794,0.5149094586943558,0.408197527429822,0.4967222524987091
ecnn1,1,2,AM,12,0.5373860696540292,0.5275687983875833,0.4440269783667053,0.4634264525546447,0.5315158356763308
ecnn1,1,2,PM,1,0.5227190542990799,0.5320528903891408,0.4692354454441762,0.4444990893349647,0.5073896991507068
ecnn1,1,2,PM,2,0.5498678505494206,0.5453038694188005,0.4559422186203299,0.4600045485443642,0.5393536756823749
ecnn1,1,2,PM,3,0.5671600812415805,0.5508447968483575,0.5152684548931403,0.4500246214981887,0.5203111600628068
ecnn1,1,2,PM,4,0.5164169998323046,0.5182169947768906,0.4008564392115553,0.4477391056789494,0.4963639389997887
ecnn1,1,2,PM,5,0.6333280273451803,0.5918101292911313,0.597815436813949,0.4388473224907474,0.5649167346369226
ecnn1,1,2,PM,6,0.548958944650261,0.5428321908380438,0.4935934826204061,0.4424426703717976,0.5258898600244862
ecnn1,1,2,PM,7,0.5750380721150129,0.5711767123721955,0.4821302908454349,0.4505912707478494,0.5305523526091305
ecnn1,1,2,PM,8,0.5405027542769187,0.5108811794560364,0.4472860189645976,0.397309608020411,0.48003964070598
ecnn1,1,2,PM,9,0.49127793431706196,0.4670382710416871,0.5108969314979498,0.3788990591957657,0.4690238292834323
ecnn1,1,2,PM,10,0.535459212821223,0.5321472090824844,0.437182127210956,0.4143401966113167,0.4823868627609025
ecnn1,1,2,PM,11,0.5457412335308972,0.5274464526618502,0.4588300064273951,0.417696628290876,0.4926877833802306
ecnn1,1,2,PM,12,0.5174361124306673,0.5191122805875509,0.4331234560589325,0.4526322756690216,0.4959979725384019
ecnn1,1,3,AM,1,0.477798624908905,0.4595800738657375,0.4289248794144077,0.3466194262871615,0.4298411262147313
ecnn1,1,3,AM,2,0.5101513082039645,0.5017650658259709,0.443611138454879,0.4216676652657971,0.488774229365594
ecnn1,1,3,AM,3,0.5444648219741852,0.4997924544662025,0.4809137823681036,0.37066836428598,0.4850317933138434
ecnn1,1,3,AM,4,0.4172309121548708,0.41505948131269604,0.32855735353861304,0.3298337030125566,0.3892236172723864
ecnn1,1,3,AM,5,0.5198850349000667,0.5130561236098949,0.42733800682290096,0.4064243079030147,0.4893277680758005
ecnn1,1,3,AM,6,0.4809284971275489,0.4628902640455332,0.4201852009045145,0.3719162114828237,0.4541266547762578
ecnn1,1,3,AM,7,0.5046633147471526,0.5192008923244281,0.3411693607149424,0.4311801727664416,0.4667292633704196
ecnn1,1,3,AM,8,0.5196155818643209,0.5251039048439113,0.44095284962948256,0.4215076649941695,0.489138562797194
ecnn1,1,3,AM,9,0.4557770168117754,0.4730905971472899,0.3128953822525534,0.40501136808050775,0.4406329272438743
ecnn1,1,3,AM,10,0.4624123203465815,0.4657019086484698,0.3228073046480208,0.3898016451172667,0.4524466106179281
ecnn1,1,3,AM,11,0.5113434608044812,0.4967768255220367,0.4167178285902609,0.40429162836846977,0.4814370302976491
ecnn1,1,3,AM,12,0.473610468941012,0.4730261373054642,0.3933812946961892,0.40502544998350426,0.4810850436684773
ecnn1,1,3,PM,1,0.6027788210463997,0.5751572638977797,0.5555439233905821,0.44371865744748334,0.543170672698192
ecnn1,1,3,PM,2,0.5718468498534636,0.5717032156955716,0.5032278557892456,0.4854448121437548,0.5446171056418662
ecnn1,1,3,PM,3,0.6449327770572064,0.6416900071938723,0.4894973485558152,0.5241113540808465,0.6027354544476369
ecnn1,1,3,PM,4,0.6144471296568214,0.6263453172700614,0.4460149270007363,0.5350655483108879,0.5883821529318508
ecnn1,1,3,PM,5,0.5593729555740338,0.5489036605282089,0.5115503183613214,0.40531063426223457,0.5081391890986972
