model,sb,day,time,trial,acc
ecnn1,1,4,AM,2,0.6532438478747203
ecnn1,1,4,AM,3,0.5917012448132779
ecnn1,1,4,AM,4,0.6336041043180847
ecnn1,1,4,AM,5,0.7090327737809752
ecnn1,1,4,AM,6,0.6884400515685432
ecnn1,1,4,AM,7,0.7165841584158416
ecnn1,1,4,AM,8,0.6401369276850664
ecnn1,1,4,AM,9,0.6995533901745838
ecnn1,1,4,AM,10,0.6666666666666666
ecnn1,1,4,AM,11,0.6551436901291129
ecnn1,1,4,AM,12,0.6051969823973177
ecnn1,1,4,PM,1,0.7698607698607699
ecnn1,1,4,PM,2,0.7168776371308017
ecnn1,1,4,PM,3,0.7281385281385281
ecnn1,1,4,PM,4,0.6818369880016549
ecnn1,1,4,PM,5,0.7237433592153657
ecnn1,1,4,PM,6,0.6803411860276198
ecnn1,1,4,PM,7,0.7251533742331289
ecnn1,1,4,PM,8,0.6882741535920727
ecnn1,1,4,PM,9,0.7357640311347808
ecnn1,1,4,PM,10,0.6629550321199144
ecnn1,1,4,PM,11,0.6540854417254252
ecnn1,1,4,PM,12,0.6536833192209992
ecnn1,1,5,AM,1,0.602768456375839
ecnn1,1,5,AM,2,0.5628997867803838
ecnn1,1,5,AM,3,0.634699562276164
ecnn1,1,5,AM,4,0.6495287060839761
ecnn1,1,5,AM,5,0.5897539330375151
ecnn1,1,5,AM,6,0.6135781383432963
ecnn1,1,5,AM,7,0.5425278219395866
ecnn1,1,5,AM,8,0.5304166666666666
ecnn1,1,5,AM,9,0.6247422680412371
ecnn1,1,5,AM,10,0.5933277027027027
ecnn1,1,5,AM,11,0.6505441354292624
ecnn1,1,5,AM,12,0.6323165704863973
ecnn1,1,5,PM,1,0.6090047393364929
ecnn1,1,5,PM,2,0.5980433857932794
ecnn1,1,5,PM,3,0.6467259498787389
ecnn1,1,5,PM,4,0.6433067561896769
ecnn1,1,5,PM,5,0.6256873527101335
ecnn1,1,5,PM,6,0.6796036333608588
ecnn1,1,5,PM,7,0.5959150981177412
ecnn1,1,5,PM,8,0.6535269709543569
ecnn1,1,5,PM,9,0.6300990099009901
ecnn1,1,5,PM,10,0.6390484003281378
ecnn1,1,5,PM,11,0.6556584776480064
ecnn1,1,5,PM,12,0.6501061571125265
ecnn2,1,1,AM,1,0.696078431372549
ecnn2,1,1,AM,2,0.5968214136344626
ecnn2,1,1,AM,3,0.5303030303030303
ecnn2,1,1,AM,4,0.556525353283458
