model,sb,day,time,trial,stability
ecnn1,1,2,PM,11,0.8535233570863024
ecnn1,1,2,PM,12,0.8561389003720545
ecnn1,1,3,AM,1,0.8511340206185567
ecnn1,1,3,AM,2,0.81427304964539
ecnn1,1,3,AM,3,0.8209779179810726
ecnn1,1,3,AM,4,0.8790637191157347
ecnn1,1,3,AM,5,0.867342799188641
ecnn1,1,3,AM,6,0.8779974758098443
ecnn1,1,3,AM,7,0.8334700574241181
ecnn1,1,3,AM,8,0.8564675547915771
ecnn1,1,3,AM,9,0.8540024885939445
ecnn1,1,3,AM,10,0.8631059245960503
ecnn1,1,3,AM,11,0.8299512987012987
ecnn1,1,3,AM,12,0.8495040965933592
ecnn1,1,3,PM,1,0.8401174989509023
ecnn1,1,3,PM,2,0.8190803609798023
ecnn1,1,3,PM,3,0.8290349417637272
ecnn1,1,3,PM,4,0.796327924850555
ecnn1,1,3,PM,5,0.8212244897959183
ecnn1,1,3,PM,6,0.8026541095890412
ecnn1,1,3,PM,7,0.8590110339190846
ecnn1,1,3,PM,8,0.8427249789739277
ecnn1,1,3,PM,9,0.8562204046491606
ecnn1,1,3,PM,10,0.8032506415739948
ecnn1,1,3,PM,11,0.8286298568507158
ecnn1,1,3,PM,12,0.790677600345274
ecnn1,1,4,AM,1,0.8668310727496917
ecnn1,1,4,AM,2,0.8679498657117278
ecnn1,1,4,AM,3,0.8181818181818181
ecnn1,1,4,AM,4,0.8404619332763046
ecnn1,1,4,AM,5,0.8764494202319072
ecnn1,1,4,AM,6,0.8392089423903697
ecnn1,1,4,AM,7,0.8732975650020636
ecnn1,1,4,AM,8,0.8428938356164384
ecnn1,1,4,AM,9,0.8619008935824533
ecnn1,1,4,AM,10,0.8500424808836023
ecnn1,1,4,AM,11,0.8620833333333333
ecnn1,1,4,AM,12,0.8222222222222222
ecnn1,1,4,PM,1,0.8918476034412126
ecnn1,1,4,PM,2,0.8716758125791473
ecnn1,1,4,PM,3,0.8778692074491121
ecnn1,1,4,PM,4,0.8634105960264901
ecnn1,1,4,PM,5,0.8773507767784138
ecnn1,1,4,PM,6,0.8744412840308817
ecnn1,1,4,PM,7,0.8821603927986906
ecnn1,1,4,PM,8,0.8810408921933086
ecnn1,1,4,PM,9,0.8745901639344262
ecnn1,1,4,PM,10,0.879605826906598
ecnn1,1,4,PM,11,0.8767634854771784
ecnn1,1,4,PM,12,0.8750529436679373
ecnn1,1,5,AM,1,0.8476710029374738
ecnn1,1,5,AM,2,0.8344709897610921
ecnn1,1,5,AM,3,0.8491242038216558
ecnn1,1,5,AM,4,0.8452636090870125
ecnn1,1,5,AM,5,0.8430185633575464
ecnn1,1,5,AM,6,0.8701409653994019
ecnn1,1,5,AM,7,0.8238568588469185
ecnn1,1,5,AM,8,0.8253438932888704
ecnn1,1,5,AM,9,0.8325082508250825
ecnn1,1,5,AM,10,0.8546683565694972
ecnn1,1,5,AM,11,0.8318548387096774
ecnn1,1,5,AM,12,0.8729896907216494
ecnn1,1,5,PM,1,0.8549980244962465
ecnn1,1,5,PM,2,0.8531914893617021
ecnn1,1,5,PM,3,0.876668014557218
ecnn1,1,5,PM,4,0.8513853904282116
ecnn1,1,5,PM,5,0.8522593320235756
ecnn1,1,5,PM,6,0.8496489054109873
ecnn1,1,5,PM,7,0.8617788461538461
ecnn1,1,5,PM,8,0.8613532586135326
ecnn1,1,5,PM,9,0.8736133122028527
ecnn1,1,5,PM,10,0.8551497743126795
ecnn1,1,5,PM,11,0.8541498791297341
ecnn1,1,5,PM,12,0.8551401869158879
ecnn2,1,1,AM,1,0.8199293840721852
ecnn2,1,1,AM,2,0.8154811715481172
ecnn2,1,1,AM,3,0.7997606701236537
ecnn2,1,1,AM,4,0.7854469854469854
ecnn2,1,1,AM,5,0.7842902711323764
ecnn2,1,1,AM,6,0.7882901994060246
ecnn2,1,1,AM,7,0.8339468302658487
ecnn2,1,1,AM,8,0.7918781725888324
ecnn2,1,1,AM,9,0.8422777550184352
ecnn2,1,1,AM,10,0.8095627298733142
ecnn2,1,1,AM,11,0.8365461847389558
ecnn2,1,1,AM,12,0.8040033361134279
ecnn2,1,1,PM,1,0.847843137254902
ecnn2,1,1,PM,2,0.8037656903765691
ecnn2,1,1,PM,3,0.8163345056662759
ecnn2,1,1,PM,4,0.8206611570247934
ecnn2,1,1,PM,5,0.8145933014354068
ecnn2,1,1,PM,6,0.8145260566270004
ecnn2,1,1,PM,7,0.8479648842777334
ecnn2,1,1,PM,8,0.8122124634044333
ecnn2,1,1,PM,9,0.803030303030303
ecnn2,1,1,PM,10,0.8215598203348305
ecnn2,1,1,PM,11,0.8319294023265142
ecnn2,1,1,PM,12,0.7978858350951374
ecnn2,1,2,AM,1,0.8025995125913892
ecnn2,1,2,AM,2,0.7639933166248956
ecnn2,1,2,AM,3,0.8074133763094279
ecnn2,1,2,AM,4,0.7719734660033167
ecnn2,1,2,AM,5,0.7837398373983739
ecnn2,1,2,AM,6,0.7234927234927235
ecnn2,1,2,AM,7,0.8223815213062525
ecnn2,1,2,AM,8,0.774100124120811
ecnn2,1,2,AM,9,0.8106060606060606
ecnn2,1,2,AM,10,0.740016992353441
ecnn2,1,2,AM,11,0.8203592814371258
ecnn2,1,2,AM,12,0.7270103092783505
ecnn2,1,2,PM,1,0.8110076891946579
ecnn2,1,2,PM,2,0.8013327780091628
ecnn2,1,2,PM,3,0.8123486682808717
ecnn2,1,2,PM,4,0.770885028949545
ecnn2,1,2,PM,5,0.7946100449162924
ecnn2,1,2,PM,6,0.7956943858168003
ecnn2,1,2,PM,7,0.7590051457975986
ecnn2,1,2,PM,8,0.7516447368421053
ecnn2,1,2,PM,9,0.8055780113177041
ecnn2,1,2,PM,10,0.766228430566968
ecnn2,1,2,PM,11,0.7885985748218527
ecnn2,1,2,PM,12,0.7672591980157091
